p,q,Macro-F1,Micro-F1
0.25,0.25,0.0030207812723808225,0.006165597863021935
0.25,0.5,0.002671148232183858,0.005374186725637475
0.25,1.0,0.003507680873432139,0.007208464201213345
0.25,2.0,0.0030352424083401044,0.006440617313500428
0.25,4.0,0.0031574908769333595,0.006663872052664649
0.5,0.25,0.00324742787599807,0.006471462253634498
0.5,0.5,0.003384774010421178,0.007044539869149938
0.5,1.0,0.003273175534595836,0.006770712132379642
0.5,2.0,0.0038386180545810404,0.007593584446330568
0.5,4.0,0.0038905586221244575,0.007869754624956492
1.0,0.25,0.003398388278985575,0.006608456141018809
1.0,0.5,0.0029497601538210406,0.005948993711002292
1.0,1.0,0.0028938434009474663,0.0055070974925832085
1.0,2.0,0.0029177419797591737,0.006279650210525725
1.0,4.0,0.0038754694294143898,0.007787655744160668
2.0,0.25,0.0029668562378556375,0.005895050766466912
2.0,0.5,0.0027114499439427533,0.00581119918701432
2.0,1.0,0.0030259489476843096,0.00666358780986268
2.0,2.0,0.0028891033489768436,0.006006861053769836
2.0,4.0,0.0035738025469220793,0.00720652870049156
4.0,0.25,0.002108543146242705,0.004218502172177764
4.0,0.5,0.0027820206288350223,0.0055932335345325445
4.0,1.0,0.0029484263451578885,0.005781091456380048
4.0,2.0,0.003072453618158112,0.00600644029335804
4.0,4.0,0.004014220081334644,0.008168336345107849
